num,title,topic,avatar,voice,head_corner,runtime_sec,full_vo,cta_overlay,caption,hashtags,compliance_footer
1,The 15-Day Clock Nobody Tells You About,DWI / ALR,Reggie,"Reggie preset, speed 0.98×, tone *urgent-protective, low and steady*",Bottom-left,30,"If you got a DWI in Texas, there's a clock running you don't even know about. (beat) It's not the criminal case — it's your license. You have **fifteen days** from your arrest to demand a hearing. [pause] Miss it… and on day forty-one your license is suspended automatically. No trial. No judge. Just gone. Most people find out on day sixteen. [pause] Call us *before* the clock beats you.",Day of arrest? Call now → (972) 370-5060 · 24/7,The DWI deadline nobody warns you about ⏳,#dwi #texaslaw #dwilawyer #dallas #frisco #knowyourrights,"Attorney Advertising. L and L Law Group, PLLC — Njeri London & Reggie London, Frisco, TX. General information, not legal advice. Past results do not guarantee future outcomes."
2,Do You Know Why I Pulled You Over?,The One Question,Reggie,"speed 0.97×, tone *insider, low, conspiratorial — almost a whisper on the hook*",Top-right,29,"When an officer leans in and asks, *'Do you know why I pulled you over?'* — that is not small talk. [pause] It's the first question on a test you didn't sign up for. Whatever you say next can become the evidence. (beat) You're allowed to be polite *and* say: *'Officer, I'd rather not answer questions.'* [pause] That's not guilt. That's the Fifth Amendment doing its job.",Said too much? It's not over. → (972) 370-5060,The question that's actually a trap 👀,#policestop #knowyourrights #criminaldefense #texas #fifthamendment,"Attorney Advertising. L and L Law Group, PLLC — Njeri London & Reggie London, Frisco, TX. General information, not legal advice. Past results do not guarantee future outcomes."
3,Your Warrant Is Not Going to Expire,Outstanding Warrants,Njeri,"speed 0.96×, tone *calm authority, unhurried, reassuring*",Top-left,31,"Here's the myth that gets people arrested: *'If I just wait, the warrant will go away.'* [pause] It won't. A Texas warrant stays active **indefinitely.** No expiration. (beat) It's a trip wire on every traffic stop, every airport, every background check. [pause] The good news? You can resolve it *before* the cuffs — verify it, pre-arrange the bond, walk in on your schedule. That's the whole difference.",Think you have a warrant? → (972) 370-5060,Waiting it out is the worst move 🚨,#warrant #texas #criminaldefense #dallaslawyer #legaltips,"Attorney Advertising. L and L Law Group, PLLC — Njeri London & Reggie London, Frisco, TX. General information, not legal advice. Past results do not guarantee future outcomes."
4,Cuffed at Work… or Walk In on Your Terms?,Walk-Through Surrender,Reggie,"speed 0.98×, tone *reassuring, dignity-protecting, steady*","Top-center, small",27,"Two ways this goes. [pause] Option one: they show up at your job, in front of everyone, no warning. (beat) Option two: your attorney confirms the warrant, arranges the bond *first*, and you walk in, get processed, and walk back out — same day. [pause] Same charge. Completely different day. We coordinate option two.",Surrender the smart way → (972) 370-5060,Don't let them pick the time and place 🤝,#warrant #criminaldefense #frisco #dallas #knowyourrights,"Attorney Advertising. L and L Law Group, PLLC — Njeri London & Reggie London, Frisco, TX. General information, not legal advice. Past results do not guarantee future outcomes."
5,Field Sobriety Tests Are Voluntary,DWI Roadside,Reggie,"speed 1.0×, tone *myth-busting, empowering, a little punchy*",Bottom-left,28,"The roadside balance tests? Walking the line, following the pen, standing on one leg? [pause] In Texas, those are **voluntary.** You can decline. (beat) And even when people do them, these tests have to follow the NHTSA manual *exactly* — the instructions, the scoring, the medical questions. [pause] When officers cut corners, we pull their training records and put the whole 'evidence' on trial.",Charged after a roadside test? → (972) 370-5060,You can say no to these 🚫,#dwi #fieldsobriety #knowyourrights #texas #dwilawyer,"Attorney Advertising. L and L Law Group, PLLC — Njeri London & Reggie London, Frisco, TX. General information, not legal advice. Past results do not guarantee future outcomes."
6,Can Police Search Your Phone?,Riley v. California,Njeri,"speed 0.98×, tone *sharp, authoritative, precise*",Top-left,29,"They arrested you — can they go through your phone? [pause] As a general rule: **no.** (beat) The Supreme Court said it in *Riley v. California* — searching your phone without a warrant violates the Fourth Amendment. [pause] There are narrow exceptions, but the default is they need a warrant, with probable cause, and specifics. If they searched anyway, that evidence may not survive a motion to suppress.",Phone searched after arrest? → (972) 370-5060,The Supreme Court already ruled on this 📱⚖️,#4thamendment #knowyourrights #criminaldefense #riley #texas,"Attorney Advertising. L and L Law Group, PLLC — Njeri London & Reggie London, Frisco, TX. General information, not legal advice. Past results do not guarantee future outcomes."
7,"A DWI Is Two Cases, Not One",Parallel Tracks,Reggie,"speed 0.98×, tone *clarifying, teacherly, confident*",Top-left,30,"One arrest. *Two* completely separate battles. [pause] Track one is the criminal case — that's guilt or innocence. (beat) Track two is your license, run by DPS, on its own fifteen-day clock. [pause] People pour everything into the courtroom and let the license suspension happen by default. We fight **both** tracks from day one — because keeping you driving matters just as much.",Two cases. One call. → (972) 370-5060,Nobody tells you it's TWO cases 🚆,#dwi #alr #texas #dwilawyer #knowyourrights,"Attorney Advertising. L and L Law Group, PLLC — Njeri London & Reggie London, Frisco, TX. General information, not legal advice. Past results do not guarantee future outcomes."
8,I Used to Be the Prosecutor,Founder Story / Trust,Reggie,"speed 0.96×, tone *personal, confident, first-person and warm — this is his story*",Top-right,30,"I used to be on the other side of this. [pause] A Dallas County prosecutor — building the cases the State now wants to use on *you.* (beat) So when I read your file, I'm not guessing what they'll do next. I've *done* it. [pause] That two-sided view is the edge: I know where their case is weak, where the deadlines are, and which moves actually change the outcome.",Get the prosecutor's playbook on your side → (972) 370-5060,I prosecuted these cases. Now I defend them. ♟️,#criminaldefense #formerprosecutor #dallas #frisco #lawyer,"Attorney Advertising. L and L Law Group, PLLC — Njeri London & Reggie London, Frisco, TX. General information, not legal advice. Past results do not guarantee future outcomes."
9,Expunction vs. Non-Disclosure,Clean Slate Explainer,Njeri,"speed 0.98×, tone *hopeful, second-chance, warm*","Top-center, small",32,"Two ways to clean up a Texas record — and they're not the same. [pause] **Expunction** wipes the arrest from the public databases like it never happened — usually for dismissals, acquittals, certain deferred outcomes. (beat) **Non-disclosure** *seals* it from the public but keeps it visible to law enforcement. [pause] Expunction is the bigger win; non-disclosure is the fallback. Which one you qualify for depends on your facts — and that's a five-minute conversation.",Check your record eligibility → (972) 370-5060,Erased vs. sealed — know the difference 🔓,#expunction #cleanslate #texas #secondchance #criminaldefense,"Attorney Advertising. L and L Law Group, PLLC — Njeri London & Reggie London, Frisco, TX. General information, not legal advice. Past results do not guarantee future outcomes."
10,Weaving in Your Own Lane Isn't a Crime,Bad Stops,Reggie,"speed 1.0×, tone *provocative, challenging, a little edge*",Bottom-left,29,"An officer says you were 'weaving' and lights you up. [pause] But here's the thing — drifting *within* your own lane is not, by itself, a legal reason to stop you in Texas. (beat) The courts said so. A hunch isn't enough. [pause] If the stop was bad, everything after it — the tests, the breath sample, the arrest — can come *out.* We start the defense at the very first second: *why did they stop you at all?*",Was your stop even legal? → (972) 370-5060,"""Weaving"" isn't always a crime 🚗",#dwi #knowyourrights #texaslaw #criminaldefense #motiontosuppress,"Attorney Advertising. L and L Law Group, PLLC — Njeri London & Reggie London, Frisco, TX. General information, not legal advice. Past results do not guarantee future outcomes."
