num,title,topic,avatar,voice,head_corner,runtime_sec,full_vo,logo_top_right,outro,outro_takeaway,caption,hashtags,compliance_footer
1,Cops Don't Have to Read You Your Rights,Miranda Myth,Reggie,"speed 0.98×, tone *myth-busting, insider, calm*",Bottom-left,30,Movies lied to you. [pause] Police don't have to read you your rights the moment they arrest you. (beat) Miranda warnings are only required before they *question* you while you're in custody. So if they arrest you and never interrogate you? No Miranda needed — and the case doesn't just get thrown out. [pause] What Miranda actually protects is this: anything you say during a custodial interrogation *without* that warning may be kept out of court. Knowing the difference is the whole game.,"YES — persistent watermark, entire video",Large centered firm logo (no phone/CTA),,Miranda isn't what you think 🎬⚖️,#knowyourrights #miranda #lawtok #legaltips #criminaljustice,"General legal information, not legal advice. Laws vary by state. L and L Law Group, PLLC — Frisco, TX."
2,The One Question That Ends a Police Stop,Am I Free to Go?,Njeri,"speed 0.98×, tone *empowering, clear*",Top-left,29,"There's one sentence that instantly changes a police encounter. [pause] *'Am I being detained, or am I free to go?'* (beat) Here's why it works: legally, an encounter is either *consensual* — meaning you can walk away — or a *detention*, which requires the officer to have a real, articulable reason. [pause] Asking that question makes them pick a lane. If you're free to go, you can calmly leave. If you're detained, now you know it's serious — and you know to stay quiet.","YES — persistent watermark, entire video",Large centered firm logo (no phone/CTA),Memorize this sentence.,The question that makes them pick a lane 🚶‍♀️,#knowyourrights #policestop #lawtok #legaltips #detained,"General legal information, not legal advice. Laws vary by state. L and L Law Group, PLLC — Frisco, TX."
3,Police Are Legally Allowed to Lie to You,Interrogation Tactics,Reggie,"speed 0.97×, tone *conspiratorial, eye-opening*",Bottom-left,31,"This one shocks people: [pause] during an interrogation, police are *allowed to lie to you.* (beat) They can say they have your fingerprints. That a witness saw you. That your friend already confessed and blamed you. None of it has to be true. The Supreme Court has said these deceptions are generally legal. [pause] Why does it matter? Because false evidence makes innocent people confess to things they didn't do. That's not paranoia — it's one of the leading causes of wrongful convictions.","YES — persistent watermark, entire video",Large centered firm logo (no phone/CTA),Now you know the game.,Wait… that's legal?? 🤯,#interrogation #knowyourrights #wrongfulconviction #lawtok #truecrime,"General legal information, not legal advice. Laws vary by state. L and L Law Group, PLLC — Frisco, TX."
4,Silence Only Works If You Say It Out Loud,Invoking the Right,Njeri,"speed 0.98×, tone *counterintuitive, careful*",Top-left,30,"Here's a twist most people miss: [pause] just *being* silent doesn't fully protect you. (beat) The Supreme Court has said that to use your right to remain silent, you generally have to *invoke* it — out loud. Sitting there quietly can actually be used against you. [pause] The fix is simple. You say, clearly: *'I'm invoking my right to remain silent, and I want a lawyer.'* Then you stop talking. That one sentence flips the switch the Constitution gives you.","YES — persistent watermark, entire video",Large centered firm logo (no phone/CTA),Say the words. Then go quiet.,Silence has a password 🔒,#knowyourrights #righttoremainsilent #lawtok #legaltips #5thamendment,"General legal information, not legal advice. Laws vary by state. L and L Law Group, PLLC — Frisco, TX."
5,You Can Say No to a Search,Consent,Reggie,"speed 1.0×, tone *empowering, matter-of-fact*",Bottom-left,29,"*'Mind if I take a look?'* [pause] That's a request — which means you're allowed to say no. (beat) If police don't have a warrant or probable cause, they often ask for *consent*, because consent lets them skip both. [pause] You can calmly say: *'I don't consent to any searches.'* That's not an admission of guilt — the courts have made clear that refusing a search can't, by itself, be used to prove you did something wrong. Being polite and being firm are not opposites.","YES — persistent watermark, entire video",Large centered firm logo (no phone/CTA),Polite and firm. Both.,"""No"" is a complete sentence 🚫🔦",#knowyourrights #4thamendment #consent #lawtok #legaltips,"General legal information, not legal advice. Laws vary by state. L and L Law Group, PLLC — Frisco, TX."
6,"Yes, You Can Record the Police",First Amendment,Njeri,"speed 0.99×, tone *confident, rights-forward*",Top-left,30,"Can you legally record the police? [pause] In public, doing their job — generally, yes. (beat) Courts across the country have recognized that recording officers is protected by the First Amendment. It's how accountability works. [pause] A few common-sense limits: don't physically interfere, don't trespass, and follow lawful orders about *where* you stand. But you don't have to stop filming just because you're told to. Keep your distance, keep it steady, and keep it rolling.","YES — persistent watermark, entire video",Large centered firm logo (no phone/CTA),Accountability is a right.,Keep it rolling 🎥,#firstamendment #knowyourrights #recordthepolice #lawtok #accountability,"General legal information, not legal advice. Laws vary by state. L and L Law Group, PLLC — Frisco, TX."
7,Reasonable Suspicion vs. Probable Cause,The Two Thresholds,Reggie,"speed 0.98×, tone *teacherly, clarifying*",Bottom-left,31,"Police need different levels of proof for different things — and mixing them up costs people their rights. [pause] Level one: *reasonable suspicion.* A specific, articulable hunch that something's up. It lets an officer briefly *stop* you. (beat) Level two: *probable cause.* A fair likelihood that a crime occurred. That's the bar to *arrest* you or *search* — and it's much higher. [pause] So a stop isn't an arrest, and a hunch isn't proof. When officers blur that line, that's exactly where cases get challenged.","YES — persistent watermark, entire video",Large centered firm logo (no phone/CTA),Two bars. Know both.,Stop ≠ arrest. Hunch ≠ proof. 📊,#knowyourrights #4thamendment #lawtok #legaltips #criminaljustice,"General legal information, not legal advice. Laws vary by state. L and L Law Group, PLLC — Frisco, TX."
8,Can Police Search Your Car?,The Automobile Exception,Njeri,"speed 0.98×, tone *clarifying, practical*",Top-left,30,"Your car doesn't get the same privacy as your home. [pause] There's something called the *automobile exception*: if police have probable cause to believe there's evidence of a crime inside, they can generally search it — no warrant required. (beat) *But* — being pulled over for a broken taillight isn't automatically probable cause to tear your car apart. [pause] And you're still allowed to say you don't consent. Consent and probable cause are different doors, and knowing which one they're using matters.","YES — persistent watermark, entire video",Large centered firm logo (no phone/CTA),Know which door they're using.,A ticket isn't a search warrant 🚗🔒,#knowyourrights #4thamendment #carsearch #lawtok #legaltips,"General legal information, not legal advice. Laws vary by state. L and L Law Group, PLLC — Frisco, TX."
9,The Supreme Court Protects Your Phone,Riley v. California,Reggie,"speed 0.98×, tone *authoritative, reassuring*",Bottom-left,30,"The phone in your pocket holds your whole life — and the Supreme Court noticed. [pause] In a case called *Riley v. California*, the Court ruled that police generally need a *warrant* to search your phone, even after an arrest. (beat) Why? Because a smartphone isn't like a wallet — it's your messages, photos, location history, everything. The justices called it a window into your entire private world. [pause] There are narrow emergencies, but the default is clear: get a warrant. Your digital life has constitutional walls.","YES — persistent watermark, entire video",Large centered firm logo (no phone/CTA),Your data has walls.,SCOTUS built a wall around your phone 📱🧱,#4thamendment #riley #knowyourrights #lawtok #privacy,"General legal information, not legal advice. Laws vary by state. L and L Law Group, PLLC — Frisco, TX."
10,When Police Can Enter Your Home Without a Warrant,Exigent Circumstances,Njeri,"speed 0.98×, tone *serious, clarifying*",Top-left,31,"Your home has the strongest privacy protection in the Constitution. [pause] Generally, police need a *warrant* to come inside. But there are exceptions — and they're worth knowing. (beat) One: you let them in — that's consent. Two: they're chasing someone in *hot pursuit.* Three: a true emergency — *exigent circumstances* — like someone screaming for help or evidence being destroyed right then. [pause] Outside those, 'we'd like to come in' is a request. And at your own front door, you're allowed to say no.","YES — persistent watermark, entire video",Large centered firm logo (no phone/CTA),"Your door, your call.",3 ways they can come in — and every other way they can't 🚪,#4thamendment #knowyourrights #lawtok #legaltips,"General legal information, not legal advice. Laws vary by state. L and L Law Group, PLLC — Frisco, TX."
